Date,DHW Demand(GWh),Heating Demand(GWh),Heating COP, DHW COP, Temperature (C)
2014-03-08,216.0,870.6567484550276,4.132568512958985,2.278256167523851,7.395438428635807
2014-03-09,216.0,696.9466851233603,4.310143835472991,2.2887965490152933,8.749576394118185
2014-03-10,216.0,783.3637301525632,4.072321717599633,2.274590354337016,6.939603002515691
2014-03-11,216.0,967.4513856071293,3.8999083101495176,2.265966969468032,5.560404322773947
2014-03-12,216.0,1020.0089155560855,3.94574644624021,2.26835066187557,5.923437987379292
2014-03-13,216.0,943.6077972220442,4.05787033406166,2.2737957301265967,6.826874135552719
2014-03-14,216.0,887.8863120494813,4.097978299929029,2.275779268490288,7.148612259678815
2014-03-15,216.0,728.1155925152755,4.297067268566736,2.2878640384831015,8.656111146343326
2014-03-16,216.0,620.6156670026821,4.341922313946285,2.290908204233189,8.982894970135266
2014-03-17,216.0,643.2853569801541,4.250215598292456,2.284870406248411,8.307339732988163
2014-03-18,216.0,743.5123362257033,4.19569209001628,2.2814614776283713,7.898461795027976
2014-03-19,216.0,709.0230931905207,4.283601234083223,2.2867487870179635,8.566060860113721
2014-03-20,216.0,787.5822880348103,4.202954610213382,2.2822354747560536,7.940127111891693
2014-03-21,216.0,922.7415301130432,3.9862974353661023,2.2702186141586607,6.2542297873145785
2014-03-22,216.0,1185.6342928662048,3.794868135199606,2.261648053843276,4.682759198264986
2014-03-23,216.0,1310.8615059780363,3.752582600439258,2.25978256391689,4.334523447716897
2014-03-24,216.0,1312.1375384450075,3.7433886992926486,2.2594479337762303,4.255969641877334
2014-03-25,216.0,1223.2312489728677,3.8980499551743932,2.265832527734256,5.547198442373676
2014-03-26,216.0,1321.8438099508498,3.7131042629154276,2.2584228484673945,3.9941286904584863
2014-03-27,216.0,1326.2827911454526,3.7670014405445666,2.260222110613529,4.461129980904486
2014-03-28,216.0,1173.5988852986811,3.9898137552118698,2.2702548081256007,6.287945227094648
2014-03-29,216.0,758.4611793710243,4.3537761172905105,2.292038300163538,9.05622916636365
2014-03-30,216.0,507.0298491932348,4.4562735131166775,2.2991167050668,9.798066928494736
2014-03-31,216.0,398.10494179448557,4.464447344003484,2.2996424156425475,9.858776814333002
2014-04-01,216.0,333.45227096341836,4.454450122675284,2.2990417988759155,9.782829271716215
2014-04-02,216.0,415.75118733960835,4.438671908081733,2.2984410201788212,9.649078273664333
2014-04-03,216.0,421.3572010918108,4.463758470487227,2.3002216082126523,9.8287203763662
2014-04-04,216.0,406.735420937026,4.443151538712288,2.298130755334857,9.706285173728611
2014-04-05,216.0,410.6324928292537,4.481698202542243,2.300362993130157,10.002462300216095
2014-04-06,216.0,248.65717302895487,4.7529354133180775,2.3238079716035998,12.104103540817706
2014-04-07,216.0,382.73628603560314,4.478081256392502,2.300990891799213,9.941176891956479
2014-04-08,216.0,585.8507239518337,4.126290872068249,2.2774176345481645,7.366203338755886
2014-04-09,216.0,531.8116965346098,4.350227609684476,2.2911606286502306,9.055850950835527
2014-04-10,216.0,451.1752413272979,4.356317925584246,2.291738179417949,9.09365207912453
2014-04-11,216.0,419.5847813793587,4.307875147065882,2.2892168841272245,8.71007610556978
2014-04-12,216.0,548.7541893737891,4.2424101031548185,2.2843924823204413,8.248401738730637
2014-04-13,216.0,520.564306667711,4.296710294897327,2.288019778979793,8.646311789781524
2014-04-14,216.0,495.6523221628845,4.2583718680601965,2.2853416339742068,8.370053321633705
2014-04-15,216.0,527.0899491131504,4.134260604348673,2.2778290006985205,7.42944601554592
2014-04-16,216.0,529.1369211750649,4.2093882949615775,2.2821798193408664,8.006690175981014
2014-04-17,216.0,575.5950136606275,4.289962929718249,2.2875728432407523,8.596715567552343
2014-04-18,216.0,592.6694796302295,4.106540322398674,2.2764215459675587,7.208541385284303
2014-04-19,216.0,659.4229404912259,4.060269127374648,2.273821788597318,6.849819729853764
2014-04-20,216.0,639.0658212670539,4.301425339743475,2.288195597114107,8.686429512870431
2014-04-21,216.0,367.5211357977534,4.585314047415893,2.3079975544407167,10.733238296530276
2014-04-22,216.0,308.2894883705742,4.51208091627355,2.3026142704088115,10.216238346383
2014-04-23,216.0,213.28111588505416,4.57085522500635,2.306781462136411,10.637293764607067
2014-04-24,216.0,160.72598145316607,4.559826516758282,2.3059928479962557,10.558551247732591
2014-04-25,216.0,323.0823996394769,4.432434712335598,2.297077518999186,9.64124636338858
2014-04-26,216.0,349.91728587330306,4.486426120248324,2.3005568868415307,10.041985728821993
2014-04-27,216.0,332.6181907482808,4.475197426004613,2.299783387076555,9.960638776983991
2014-04-28,216.0,186.83914336095188,4.603070425421008,2.3091606381940166,10.864278726449353
2014-04-29,216.0,82.49686482777953,4.651453331034735,2.31283551704654,11.20111262848567
2014-04-30,216.0,76.18193429353443,4.649645838444122,2.313107751370649,11.172148329615212
