Date,Demand
2019-01-01,71.81924845833333
2019-01-02,88.54889125
2019-01-03,95.56799495833333
2019-01-04,101.6143215
2019-01-05,95.43861008333333
2019-01-06,85.28491883333334
2019-01-07,83.97516120833333
2019-01-08,88.39555133333333
2019-01-09,97.80536029166667
2019-01-10,96.535217125
2019-01-11,89.79020745833333
2019-01-12,80.44103458333333
2019-01-13,75.57469054166667
2019-01-14,82.19677741666666
2019-01-15,81.42984195833333
2019-01-16,86.53270829166667
2019-01-17,99.35902433333334
2019-01-18,105.75910995833334
2019-01-19,98.18288125
2019-01-20,97.43838870833333
2019-01-21,105.49680875
2019-01-22,108.69060166666667
2019-01-23,112.88536816666667
2019-01-24,107.19037495833334
2019-01-25,91.35722975
2019-01-26,84.13569883333334
2019-01-27,95.504213125
2019-01-28,102.40803816666667
2019-01-29,107.28655079166667
2019-01-30,111.831794625
2019-01-31,123.85816541666667
2019-02-01,122.98015433333333
2019-02-02,114.602606125
2019-02-03,107.97897575
2019-02-04,98.35888991666667
2019-02-05,94.5369085
2019-02-06,87.58712508333333
2019-02-07,90.47517258333333
2019-02-08,83.51083604166666
2019-02-09,80.12502254166667
2019-02-10,85.04632745833334
2019-02-11,87.50287304166666
2019-02-12,84.07529216666667
2019-02-13,80.73692775
2019-02-14,81.23879375
2019-02-15,78.345772125
2019-02-16,68.998912375
2019-02-17,67.03098908333334
2019-02-18,75.51073691666667
2019-02-19,77.218699
2019-02-20,72.374046125
2019-02-21,65.85268204166667
2019-02-22,66.537235625
2019-02-23,62.615208333333335
2019-02-24,65.03349
2019-02-25,67.93836154166667
2019-02-26,65.91213445833333
2019-02-27,65.79420545833334
2019-02-28,69.40168854166667
2019-03-01,69.691473
2019-03-02,64.40357929166667
2019-03-03,66.92522429166667
2019-03-04,80.05313808333334
2019-03-05,76.948622125
2019-03-06,71.02133620833334
2019-03-07,77.74983575
2019-03-08,79.098223875
2019-03-09,74.031757375
2019-03-10,84.29410866666667
2019-03-11,82.37714208333334
2019-03-12,85.656009
2019-03-13,79.72020845833333
2019-03-14,70.32323208333334
2019-03-15,64.69339379166667
2019-03-16,65.812573375
2019-03-17,73.61598495833333
2019-03-18,72.95265370833333
2019-03-19,66.27767604166667
2019-03-20,59.61662441666667
2019-03-21,55.244057166666664
2019-03-22,57.837317875
2019-03-23,58.563401
2019-03-24,63.014187041666666
2019-03-25,66.08456166666667
2019-03-26,65.43949675
2019-03-27,63.12477741666667
2019-03-28,60.676448541666666
2019-03-29,57.31377870833333
2019-03-30,54.079234916666664
2019-03-31,60.066087458333335
2019-04-01,62.868342416666664
2019-04-02,71.27104
2019-04-03,77.904925875
2019-04-04,81.97399620833333
2019-04-05,68.74304841666667
2019-04-06,62.60034533333334
2019-04-07,57.5272205
2019-04-08,57.13372558333333
2019-04-09,61.71962754166667
2019-04-10,64.91026970833333
2019-04-11,66.58713541666667
2019-04-12,69.12259470833334
2019-04-13,71.65885845833333
2019-04-14,71.97330825
2019-04-15,65.155861375
2019-04-16,56.54740183333333
2019-04-17,47.67764654166667
2019-04-18,38.40827766666666
2019-04-19,28.549990125
2019-04-20,22.983630708333333
2019-04-21,21.212090416666666
2019-04-22,20.797522291666667
2019-04-23,24.5441435
2019-04-24,31.359598916666666
2019-04-25,38.2621315
2019-04-26,43.33073804166666
2019-04-27,51.558535666666664
2019-04-28,45.27622433333333
2019-04-29,46.97855366666667
2019-04-30,42.69495833333333
2019-05-01,40.007409
2019-05-02,42.942074166666664
2019-05-03,48.63096225
2019-05-04,53.85070929166667
2019-05-05,53.314478791666666
2019-05-06,52.537842708333336
2019-05-07,50.01140016666667
2019-05-08,51.42523295833333
2019-05-09,50.65549145833333
2019-05-10,48.967623208333336
2019-05-11,44.15436391666667
2019-05-12,40.095027125
2019-05-13,37.22214458333333
2019-05-14,31.041327041666666
2019-05-15,28.22262
2019-05-16,29.602455625
2019-05-17,31.897592291666665
2019-05-18,30.243854375
2019-05-19,28.176240416666666
2019-05-20,27.739380458333333
2019-05-21,27.055521041666665
2019-05-22,26.87244116666667
2019-05-23,25.379313083333333
2019-05-24,23.741471916666665
2019-05-25,20.927235833333334
2019-05-26,20.390794916666668
2019-05-27,24.217990458333333
2019-05-28,28.714181208333333
2019-05-29,31.25277704166667
2019-05-30,22.853751708333334
2019-05-31,21.710032458333334
2019-06-01,17.430848583333333
2019-06-02,17.676943583333333
2019-06-03,22.10182
2019-06-04,24.423007833333333
2019-06-05,26.134974458333332
2019-06-06,26.556427083333332
2019-06-07,27.534193583333334
2019-06-08,27.709358125
2019-06-09,26.111703583333334
2019-06-10,33.898952875
2019-06-11,36.62618125
2019-06-12,34.705836958333336
2019-06-13,35.264504083333335
2019-06-14,29.665578208333333
2019-06-15,26.527579291666665
2019-06-16,23.65217225
2019-06-17,23.81216025
2019-06-18,23.294399875
2019-06-19,22.877394916666667
2019-06-20,24.262422625
2019-06-21,23.762103
2019-06-22,19.698286625
2019-06-23,17.743554083333333
2019-06-24,18.44850275
2019-06-25,19.0386615
2019-06-26,20.523424416666668
2019-06-27,19.500577708333335
2019-06-28,18.000951333333333
2019-06-29,14.6065325
2019-06-30,15.05000975
2019-07-01,18.303193625
2019-07-02,19.72846425
2019-07-03,19.532726166666667
2019-07-04,18.372455833333333
2019-07-05,17.5230345
2019-07-06,16.447878625
2019-07-07,17.280995875
2019-07-08,19.2928275
2019-07-09,18.752124541666667
2019-07-10,17.688595666666668
2019-07-11,17.307950958333333
2019-07-12,16.738518041666666
2019-07-13,15.51958025
2019-07-14,16.103134875
